station_name,date,max_temperature,high,avg_hourly_temperature,avg_temperature,min_temperature,low,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
Barrie,2020-10-09,17.7,63.86,9.07,8.75,-0.2,31.64,,,96,76.4,75,54,8.5,4.7,4.1,-0.3,19,9.08,9.5,0,38,18,102.21,101.72,101.49,100.78,98.67,98.22,98.01,97.36,,,,,2.7,1.7,1.8,1,9.2,0,3.8,1.8,0,,,,,7:26:00,18:45:00,11.32,7.43,18.75,5,5,17,19,15,16,,,,,,,,,,,,,
Barrie,2020-10-08,12.3,54.14,6.91,6.7,1.1,33.98,,,95,82.5,81.5,68,7.6,4.1,4.4,1.2,19,8.08,9.5,0,,,102.09,101.83,101.75,101.42,98.57,98.33,98.26,97.94,,,,,1.7,1.2,1.4,1,11.3,0,1.7,0,0,0.4,,,,7:25:00,18:47:00,11.37,7.42,18.78,2,3,12,12,1,2,,,,,,,,,,,,,
Barrie,2020-10-07,14.5,58.1,11.27,10.25,6,42.8,,,89,79.6,78,67,10.6,7.8,6.9,3.2,42,19.83,23,4,68,29,101.35,100.48,100.65,99.95,97.88,97.05,97.21,96.54,,,,,2.1,1.7,1.6,1.2,7.8,0,5.2,3.2,0.2,4.3,,,,7:24:00,18:49:00,11.42,7.4,18.82,3,3,16,16,3,3,,,,,,,,,,,,,
Barrie,2020-10-06,17.1,62.78,10.75,11,4.9,40.82,,,90,76.6,73,56,9.3,6.6,6.5,3.6,23,10.04,13,3,34,24,101.79,101.17,101.24,100.68,98.3,97.71,97.77,97.24,,,,,4.9,2.2,3.1,1.4,7,0,6,4,1,0,,,,7:23:00,18:51:00,11.47,7.38,18.85,3,4,16,16,10,11,,,,,,,,,,,,,
Barrie,2020-10-05,13.7,56.66,9.13,10.1,6.5,43.7,,,96,77.7,75,54,6.8,5.1,5.2,3.6,17,10.25,10.5,4,,,102.32,102.07,102.07,101.82,98.8,98.56,98.57,98.33,,,,,3,1.6,2,1,7.9,0,5.1,3.1,0.1,0,,,,7:21:00,18:52:00,11.52,7.35,18.87,5,5,13,13,5,6,,,,,,,,,,,,,
Barrie,2020-10-04,8.8,47.84,6.54,5.1,1.4,34.52,,,95,92.1,91.5,88,7.8,5.3,4.2,0.7,14,6.75,8.5,3,,,102.38,102.14,102.14,101.9,98.85,98.61,98.61,98.38,,,,,1.7,1.3,1.4,1,12.9,0,0.1,0,0,9.9,,,,7:20:00,18:54:00,11.57,7.33,18.9,2,2,11,11,4,4,,,,,,,,,,,,,
Barrie,2020-10-03,9.5,49.1,5.77,5.25,1,33.8,,,94,81.9,77,60,5,2.8,2.5,-0.1,11,4.88,5.5,0,,,102.45,102.33,102.31,102.16,98.91,98.8,98.77,98.63,,,,,2,1.4,1.5,1,12.8,0,0.2,0,0,0,,,,7:19:00,18:56:00,11.62,7.32,18.93,3,3,10,10,0,3,,,,,,,,,,,,,
Barrie,2020-10-02,11.6,52.88,7.77,6.2,0.8,33.44,,,94,84.5,78.5,63,7.1,5.2,4.3,1.5,18,11,11,4,27,31,102.13,101.66,101.72,101.3,98.61,98.16,98.22,97.83,,,,,2.2,1.2,1.6,1,11.8,0,1.2,0,0,0.3,,,,7:18:00,18:58:00,11.67,7.3,18.97,3,4,10,10,0,0,,,,,,,,,,,,,
Barrie,2020-10-01,14.6,58.28,10.1,10.35,6.1,42.98,,,94,84.5,78.5,63,8.7,7.5,7,5.2,23,9.46,11.5,0,37,29,101.36,100.96,100.86,100.35,97.89,97.5,97.4,96.92,,,,,1.3,1.1,1.1,1,7.7,0,5.3,3.4,0.4,3.2,,,,7:17:00,19:00:00,11.72,7.28,19,3,4,13,15,5,5,,,,,,,,,,,,,
Barrie,2020-09-30,14.1,57.38,10.88,11.05,8,46.4,,,94,85.9,83,72,10,8.5,8.7,7.3,19,9.08,9.5,0,53,27,100.43,100.07,100.15,99.87,97.02,96.66,96.74,96.46,,,,,1.8,1.3,1.4,1,7,0,6,4,1.1,8.4,,,,7:15:00,19:01:00,11.77,7.25,19.02,2,2,15,15,9,9,,,,,,,,,,,,,
